(Intercept),mgmt_highest,"s(calcite, k = 6, bs = ""cr"")","s(currents_velocity_mean, k = 6, bs = ""cr"")","s(dhw_max_cumul, k = 6, bs = ""cr"")","s(diffuse_atn_max, k = 6, bs = ""cr"")","s(dissolved_oxygen, k = 6, bs = ""cr"")","s(gebco_depth, k = 6, bs = ""cr"")","s(method_cat, bs = ""re"")","s(par_max, k = 6, bs = ""cr"")","s(ph_mean, k = 6, bs = ""cr"")","s(region, bs = ""re"")","s(score_cn, k = 6, bs = ""cr"")","s(score_cy, k = 6, bs = ""cr"")","s(sst_annualtrend, k = 6, bs = ""cr"")","s(sst_kurtosis, k = 6, bs = ""cr"")","s(sst_max, k = 6, bs = ""cr"")","s(sst_range, k = 6, bs = ""cr"")","s(sst_skewness, k = 6, bs = ""cr"")","s(sst_var, k = 6, bs = ""cr"")","te(longitude, latitude, bs = ""gp"", k = c(10, 10), m = 2)",R^2,Dev_exp,df,logLik,AICc,delta,weight
-1.1770939386395944,+,NA,NA,+,+,NA,+,+,NA,+,+,NA,NA,NA,NA,NA,NA,+,NA,+,0.4599794425290603,49.88523521433405,78,1276.9961854734017,-2389.5647886436886,20.74909970855424,1.68394325151229e-05
-1.1881560930962245,+,+,NA,+,NA,NA,NA,+,NA,+,+,NA,+,NA,+,NA,NA,NA,NA,+,0.4617211557184475,50.06675696312419,80,1279.6742570504668,-2389.523911926187,20.789976426056,1.64987554513125e-05
-1.1394517189942541,+,NA,NA,NA,NA,NA,+,+,+,+,+,NA,+,NA,NA,NA,NA,+,NA,+,0.46291834759919337,50.191055982685306,82,1281.5200984817473,-2389.5004173899338,20.81347096230911,1.63060741028067e-05
-1.1719818912584856,+,NA,NA,+,+,NA,NA,+,+,NA,+,NA,+,NA,NA,NA,+,NA,NA,+,0.4607572334306079,49.96704158923105,79,1278.1910537778217,-2389.4535253691497,20.860362983093182,1.5928208747175e-05
-1.1894988407028526,+,NA,NA,+,NA,NA,NA,+,NA,+,+,+,+,NA,+,NA,NA,NA,NA,+,0.46225075731556964,50.121311709285976,81,1280.4902947817934,-2389.3553295759707,20.958558776272184,1.51650551191116e-05
-1.196223731177499,+,NA,NA,+,NA,NA,+,+,NA,+,+,+,NA,NA,NA,NA,+,NA,NA,+,0.46018752141338437,49.906992008355786,78,1277.3156744897212,-2389.3076670573137,21.00622129492922,1.48079250888982e-05
-1.1833335439081896,+,NA,+,+,NA,NA,NA,+,NA,NA,+,+,+,NA,NA,NA,NA,+,NA,+,0.460861541837289,49.97725307777594,79,1278.3514268767317,-2389.200993585573,21.112894766669797,1.40388120130381e-05
-1.17283116446306,+,NA,NA,NA,NA,NA,+,+,NA,+,+,+,NA,NA,+,NA,NA,+,NA,+,0.4632258819042421,50.22248786757101,83,1281.9949219223986,-2389.117720174518,21.196168177724758,1.34662839324064e-05
-1.1805687624741292,+,NA,NA,+,NA,NA,NA,+,+,NA,+,+,NA,NA,NA,NA,+,+,NA,+,0.46388157512018813,50.290749586972524,83,1283.0082009264374,-2389.0623577462807,21.251530605962216,1.30986328336259e-05
-1.1845217485063164,+,NA,NA,+,NA,NA,NA,+,+,NA,+,+,+,NA,NA,NA,+,NA,NA,+,0.4631124477899903,50.21143765498659,82,1281.819751505748,-2389.0607028784752,21.253185473767644,1.30877990634727e-05
-1.1903760352609085,+,NA,NA,+,+,NA,+,+,NA,NA,+,+,NA,NA,NA,NA,NA,+,NA,+,0.46069121865170237,49.958998591852584,79,1278.0895727649083,-2388.9999168489585,21.313971503284392,1.26960054469696e-05
-1.1784796958641999,+,NA,NA,+,NA,NA,+,+,+,NA,+,+,NA,NA,NA,NA,NA,+,NA,+,0.4631012706337454,50.20945993487076,82,1281.8024932064266,-2388.7667817194415,21.547106632801388,1.12990635148944e-05
-1.203891240159959,+,+,NA,+,NA,NA,NA,+,NA,NA,+,+,NA,NA,NA,NA,+,+,NA,+,0.4622255151282252,50.11868944639279,81,1280.451382068338,-2388.504762803562,21.809125548681095,9.91164560504744e-06
-1.1869724531551662,+,+,NA,+,NA,NA,NA,+,+,NA,+,NA,+,NA,NA,NA,+,NA,NA,+,0.462178991008772,50.11477811024736,81,1280.3796664554134,-2388.306802039164,22.00708631307907,8.97757684987404e-06
-1.18109307854472,+,NA,NA,+,NA,NA,NA,+,+,+,+,NA,+,NA,+,NA,NA,NA,NA,+,0.4621662010718932,50.113189941967306,81,1280.3599522169886,-2388.306757656049,22.007130696194054,8.9773776256718e-06
-1.1569543831043465,+,NA,NA,NA,+,NA,NA,+,+,+,+,NA,NA,NA,+,NA,NA,+,NA,+,0.4612382522760423,50.01647555599816,80,1278.930873776798,-2388.2931551120814,22.020733240161462,8.91652720343966e-06
-1.212281444055259,+,+,NA,+,NA,NA,NA,+,NA,+,+,+,NA,NA,+,NA,NA,NA,NA,+,0.46244642094665844,50.14161815438671,82,1280.79198682367,-2388.238486860673,22.075401491569664,8.67610259558302e-06
-1.1758833567159588,+,NA,NA,+,+,NA,NA,+,+,+,+,NA,NA,NA,NA,NA,+,NA,NA,+,0.45756706160119864,49.635033943031196,75,1273.3011221606837,-2388.1618225457614,22.15206580648146,8.34982232886254e-06
-1.170980297958085,+,NA,NA,+,+,NA,NA,+,+,NA,+,NA,+,NA,NA,NA,NA,+,NA,+,0.46066890464931187,49.95749086623642,79,1278.0552734433572,-2388.0751331197375,22.238755232505355,7.99563323993349e-06
-1.1878779457754884,+,+,NA,+,NA,NA,NA,+,+,NA,+,NA,+,NA,NA,NA,NA,+,NA,+,0.46213594920697576,50.1099293435838,81,1280.313324260951,-2388.0286527357275,22.285235616515365,7.81195580470734e-06
-1.194437562064594,+,+,NA,+,NA,NA,NA,+,NA,+,+,NA,+,NA,NA,NA,+,NA,NA,+,0.46059760208645717,49.95011400191829,80,1277.9456822884301,-2387.5947469571256,22.719141395117276,6.28837358879257e-06
-1.1691781446608305,+,NA,NA,+,NA,NA,NA,+,NA,NA,+,+,+,NA,NA,NA,NA,+,+,+,0.46054627684542504,49.94464409439894,79,1277.866804996052,-2387.5634255150053,22.750462837237592,6.19066025182826e-06
-1.1979227170648297,+,+,NA,+,NA,NA,NA,+,+,NA,+,+,NA,NA,NA,NA,NA,+,NA,+,0.4626431040532416,50.16186220943665,82,1281.0953614785258,-2387.4529279996905,22.86096035255241,5.85791060300263e-06
-1.1801660151926,+,NA,NA,+,+,NA,NA,+,NA,NA,+,NA,+,NA,NA,NA,+,+,NA,+,0.460284806871989,49.917682984901,79,1277.4650910308897,-2387.1381161605086,23.175772191734268,5.00474803093033e-06
-1.1985753187546881,+,+,NA,+,NA,NA,NA,+,+,NA,+,NA,NA,NA,+,NA,NA,+,NA,+,0.4631148014961568,50.211439032965366,83,1281.8233858360302,-2386.9896288504547,23.32425950178822,4.64663551708926e-06
-1.2011615192225162,+,+,NA,+,NA,NA,NA,+,NA,NA,+,+,+,NA,NA,NA,+,NA,NA,+,0.461749271708344,50.06967571788458,81,1279.717559447769,-2386.9766502299376,23.33723812230528,4.61657968384778e-06
-1.2108235351687902,+,+,NA,+,NA,NA,NA,+,NA,+,+,NA,NA,NA,+,NA,NA,+,NA,+,0.46234390523553415,50.131154097366995,82,1280.633905052553,-2386.9117944449454,23.402093907297512,4.46927503204779e-06
-1.1952014568228206,+,NA,NA,+,+,NA,+,+,NA,NA,+,NA,NA,NA,+,NA,NA,+,NA,+,0.4601571059129643,49.904141376235984,79,1277.268966159465,-2386.8838143002354,23.430074052007512,4.40718488648747e-06
-1.1881433947254514,+,+,NA,+,NA,NA,NA,+,+,+,+,NA,+,NA,NA,NA,NA,NA,NA,+,0.4601791706805247,49.90666120785344,79,1277.3028502141267,-2386.732506405648,23.581381946594774,4.08606412701978e-06
-1.1679183444936185,+,+,NA,NA,+,NA,NA,+,NA,+,+,+,NA,NA,NA,NA,NA,+,NA,+,0.4578982287475125,49.66906536598815,76,1273.807399314165,-2386.7072508757383,23.606637476504602,4.03479068545601e-06
-1.200609325327234,+,+,NA,+,NA,NA,NA,+,+,+,+,+,NA,NA,NA,NA,NA,NA,NA,+,0.4618470015241204,50.07936513465218,82,1279.868094076155,-2386.57183724822,23.74205110402272,3.77065079746898e-06
-1.1710807748925023,+,NA,NA,+,+,NA,NA,+,+,+,+,NA,+,NA,NA,NA,NA,NA,NA,+,0.4584021139252752,49.72200932348457,77,1274.5783155724548,-2386.567980716631,23.74590763561173,3.76338698604345e-06
-1.1467151359805523,+,NA,NA,NA,NA,NA,+,+,NA,+,+,+,NA,NA,NA,NA,NA,+,+,+,0.45980027311975413,49.86682945128514,79,1276.7211833394322,-2386.5484990304008,23.76538932184212,3.72690638817264e-06
-1.172493975378323,+,NA,NA,+,NA,NA,+,+,NA,+,+,NA,+,NA,+,NA,NA,NA,NA,+,0.4611556664943469,50.00816809098227,81,1278.803807654303,-2386.421235001126,23.892653351116678,3.49714348575235e-06
